Place,Year-Month,Number of Registered Births,Number of Registered Marriages,Index: Focus - Murder,Index: Focus - Homicide,Index: Focus - Physical Injury,Index: Focus - Rape,Index: Focus - Robbery,Index: Focus - Theft,Index: Focus - Carnapping MV,Index: Focus - Carnapping MC,Index - Special Complex Crimes,Non-Index - Violation of Special Laws,Non-Index - Other Crimes,Non-Index - Attempted Stages Focus Crimes,Non-Index - Frustrated Stages Focus Crimes,PSI: RIR - Homicide,PSI: RIR - Physical Injury,PSI: RIR - Damage to Property,PSI: RIR - Vehicular Accident,PSI: Quasi - Homicide,PSI: Quasi - Physical Injury,PSI: Quasi - Damage to Property,PSI: Quasi - Other Offenses,Average Monthly Crime Rate,Percent Urban
REGION IX (ZAMBOANGA PENINSULA),2023-07,4277,980,24,5,12,30,11,27,0,10,0,185,42,9,24,12,123,131,266,0,1,1,2,16.09,38.4
REGION X (NORTHERN MINDANAO),2023-07,6348,2109,18,7,28,22,20,71,2,13,1,355,86,14,39,41,209,329,579,0,1,2,3,24.22,50.3
REGION XI (DAVAO REGION),2023-07,5858,1853,22,4,7,27,13,20,0,7,1,1757,85,7,16,21,96,110,227,0,0,4,4,39.8,66.8
REGION XII (SOCCSKSARGEN),2023-07,5447,1098,16,3,7,22,10,18,0,4,4,198,29,6,27,25,177,187,389,0,1,0,1,15.61,55.5
REGION XIII (Caraga),2023-07,3086,879,18,2,4,21,10,23,0,6,0,252,47,11,19,17,109,145,271,0,1,0,1,23.81,36.6
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),2023-07,3215,185,41,3,9,3,6,6,3,5,0,115,16,2,17,2,8,3,13,0,0,0,0,12.53,27.6
NATIONAL CAPITAL REGION (NCR),2023-08,14086,3240,27,8,50,71,93,270,6,26,3,2049,436,26,50,20,1213,4996,6229,4,8,22,34,63.41,100.0
CORDILLERA ADMINISTRATIVE REGION (CAR),2023-08,2117,473,2,3,4,7,10,14,0,3,0,59,22,4,7,4,36,66,106,0,0,0,0,5.45,33.3
REGION I (ILOCOS REGION),2023-08,5530,957,11,4,7,21,5,21,0,6,2,144,50,5,15,23,81,103,207,0,1,0,1,8.96,25.5
REGION II (CAGAYAN VALLEY),2023-08,4085,1055,10,6,5,7,12,15,0,7,2,173,45,6,21,30,72,108,210,1,2,1,4,13.68,19.5
REGION III (CENTRAL LUZON),2023-08,13835,2429,23,6,18,50,36,125,2,21,2,765,147,24,46,53,500,1160,1713,2,11,27,40,24.29,66.3
REGION IV-A (CALABARZON),2023-08,18281,2807,40,14,17,65,50,131,1,15,3,1904,317,56,67,73,450,1167,1690,1,5,8,14,27.46,70.5
REGION IV-B (MIMAROPA),2023-08,3375,571,7,2,4,9,13,14,0,3,0,157,40,8,19,15,72,76,163,2,1,2,5,13.53,35.2
REGION V (BICOL REGION),2023-08,7985,1660,14,4,20,29,29,76,0,6,2,309,89,13,34,32,335,575,942,1,3,4,8,24.53,23.8
REGION VI (WESTERN VISAYAS),2023-08,7258,1721,35,11,20,24,20,57,0,4,1,458,142,26,57,36,268,467,771,1,3,3,7,19.56,42.2
REGION VII (CENTRAL VISAYAS),2023-08,9531,2279,26,5,52,21,21,109,0,8,2,1404,164,19,40,26,568,879,1473,1,1,0,2,40.84,51.9
REGION VIII (EASTERN VISAYAS),2023-08,4862,1008,22,6,9,15,18,27,0,2,3,158,37,8,33,16,120,159,295,1,1,2,4,12.95,14.7
REGION IX (ZAMBOANGA PENINSULA),2023-08,4367,917,14,4,19,16,18,35,0,9,0,176,34,11,23,10,94,153,257,0,0,0,0,15.32,38.4
REGION X (NORTHERN MINDANAO),2023-08,6465,1705,14,7,19,16,12,43,0,8,0,293,70,19,30,22,217,348,587,0,1,4,5,21.62,50.3
REGION XI (DAVAO REGION),2023-08,6118,1901,23,2,9,20,8,16,0,1,0,1517,76,5,13,16,73,92,181,0,2,0,2,33.93,66.8
