Place,Year-Month,Number of Registered Births,Number of Registered Marriages,Index: Focus - Murder,Index: Focus - Homicide,Index: Focus - Physical Injury,Index: Focus - Rape,Index: Focus - Robbery,Index: Focus - Theft,Index: Focus - Carnapping MV,Index: Focus - Carnapping MC,Index - Special Complex Crimes,Non-Index - Violation of Special Laws,Non-Index - Other Crimes,Non-Index - Attempted Stages Focus Crimes,Non-Index - Frustrated Stages Focus Crimes,PSI: RIR - Homicide,PSI: RIR - Physical Injury,PSI: RIR - Damage to Property,PSI: RIR - Vehicular Accident,PSI: Quasi - Homicide,PSI: Quasi - Physical Injury,PSI: Quasi - Damage to Property,PSI: Quasi - Other Offenses,Average Monthly Crime Rate,Percent Urban
REGION XII (SOCCSKSARGEN),2023-08,5565,1353,20,6,7,9,12,26,0,5,0,194,19,6,26,16,123,124,263,0,1,0,1,12.63,55.5
REGION XIII (Caraga),2023-08,3159,789,8,2,11,23,13,23,0,2,4,184,41,10,19,7,85,125,217,2,3,3,8,19.64,36.6
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),2023-08,3018,137,27,2,10,4,4,6,0,2,0,110,22,3,10,5,6,2,13,1,1,1,3,11.32,27.6
NATIONAL CAPITAL REGION (NCR),2023-09,15335,3321,31,9,48,36,102,292,8,24,0,2084,392,28,58,26,1364,4874,6264,0,6,23,29,63.59,100.0
CORDILLERA ADMINISTRATIVE REGION (CAR),2023-09,2434,480,4,2,4,12,2,15,0,0,0,61,16,1,6,5,35,51,91,1,2,0,3,4.91,33.3
REGION I (ILOCOS REGION),2023-09,6742,944,8,4,4,14,4,19,0,3,0,150,42,8,17,30,82,95,207,0,0,1,1,8.64,25.5
REGION II (CAGAYAN VALLEY),2023-09,4814,902,16,3,3,12,8,11,0,4,0,159,40,9,17,24,63,96,183,0,0,0,0,12.16,19.5
REGION III (CENTRAL LUZON),2023-09,16268,2733,20,9,22,40,47,103,2,19,1,744,170,16,29,41,420,983,1444,2,9,13,24,21.65,66.3
REGION IV-A (CALABARZON),2023-09,20607,4100,33,7,29,41,63,134,1,27,1,1840,301,41,67,46,471,1061,1578,2,3,8,13,26.15,70.5
REGION IV-B (MIMAROPA),2023-09,4093,783,5,2,14,11,8,13,0,1,0,135,28,7,15,9,54,68,131,0,0,0,0,11.27,35.2
REGION V (BICOL REGION),2023-09,9673,1448,12,0,19,30,32,65,0,6,0,246,96,13,20,29,369,514,912,2,3,1,6,22.69,23.8
REGION VI (WESTERN VISAYAS),2023-09,7969,1953,30,12,14,31,20,42,0,6,1,508,127,22,56,27,292,472,791,0,3,4,7,19.97,42.2
REGION VII (CENTRAL VISAYAS),2023-09,10757,3357,33,8,47,26,47,115,0,12,2,1548,144,21,35,31,542,817,1390,0,10,4,14,42.01,51.9
REGION VIII (EASTERN VISAYAS),2023-09,5624,857,18,6,11,11,15,41,0,11,0,170,66,16,30,16,114,162,292,0,5,1,6,14.09,14.7
REGION IX (ZAMBOANGA PENINSULA),2023-09,4689,820,17,2,12,17,11,34,0,2,0,197,33,11,23,14,100,118,232,1,3,3,7,14.87,38.4
REGION X (NORTHERN MINDANAO),2023-09,6846,1786,18,5,20,11,22,41,0,4,0,317,61,20,28,34,192,318,544,0,1,3,4,21.08,50.3
REGION XI (DAVAO REGION),2023-09,6545,1927,10,3,13,14,7,18,0,1,3,1599,72,6,9,18,89,99,206,2,0,0,2,35.56,66.8
REGION XII (SOCCSKSARGEN),2023-09,6019,1258,16,4,10,11,11,21,0,6,1,169,30,9,23,20,198,183,401,0,0,0,0,15.14,55.5
REGION XIII (Caraga),2023-09,3478,888,14,2,10,14,9,22,0,3,0,209,47,11,18,15,95,134,244,1,1,2,4,21.1,36.6
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),2023-09,2402,151,33,2,9,5,6,3,0,3,2,76,17,4,13,2,8,1,11,1,0,0,1,9.7,27.6
