PLACE OF OCCURENCE,Type of Place,Year,Total,January,February,March,April,May,June,July,August,September,October,November,December
CAMARINES NORTE,Province,2022,"2,752",141,317,160,394,189,356,213,218,166,167,125,306
CAMARINES SUR,Province,2022,"10,387",624,"1,310","1,040","1,498",731,"1,054",582,359,616,665,318,"1,590"
CATANDUANES,Province,2022,"1,098",53,64,89,164,164,112,59,63,44,109,22,155
MASBATE,Province,2022,"4,355",336,395,592,566,537,370,203,228,263,250,277,338
SORSOGON,Province,2022,"3,684",282,404,238,375,429,424,203,306,173,263,157,430
REGION VI (WESTERN VISAYAS),Region,2022,"33,079","2,369","3,409","2,959","2,792","3,107","3,062","2,205","1,932","2,205","2,257","1,571","5,211"
AKLAN,Province,2022,"2,693",173,223,236,305,277,243,183,140,233,282,101,297
ANTIQUE,Province,2022,"2,195",151,242,177,172,235,236,191,108,88,178,94,323
CAPIZ,Province,2022,"3,324",256,351,267,321,320,275,205,204,159,315,195,456
GUIMARAS,Province,2022,793,54,145,80,68,68,75,42,43,39,43,29,107
ILOILO,Province,2022,"8,433",637,"1,069",826,704,817,765,533,493,567,452,371,"1,199"
NEGROS OCCIDENTAL,Province,2022,"10,998",870,"1,019","1,029",879,"1,014",994,668,642,738,619,531,"1,995"
CITY OF BACOLOD,City,2022,"2,587",147,203,174,180,206,229,196,172,226,219,133,502
CITY OF ILOILO,City,2022,"2,056",81,157,170,163,170,245,187,130,155,149,117,332
REGION VII (CENTRAL VISAYAS),Region,2022,"38,008","3,083","2,972","2,939","2,772","3,967","4,273","3,036","2,220","3,337","3,115","2,211","4,083"
BOHOL,Province,2022,"6,670",566,457,347,508,998,776,499,446,530,577,397,569
CEBU,Province,2022,"14,908","1,239","1,152","1,260",975,"1,572","1,730","1,111",866,"1,425","1,163",851,"1,564"
NEGROS ORIENTAL,Province,2022,"8,435",781,802,734,786,774,856,668,350,558,729,471,926
SIQUIJOR,Province,2022,365,26,31,19,17,53,28,22,28,55,25,17,44
CITY OF CEBU,City,2022,"4,370",292,335,296,284,303,515,418,276,476,362,255,558
CITY OF LAPU-LAPU,City,2022,"1,791",91,104,165,118,154,222,187,140,144,135,101,230
CITY OF MANDAUE,City,2022,"1,469",88,91,118,84,113,146,131,114,149,124,119,192
REGION VIII (EASTERN VISAYAS),Region,2022,"16,741","1,358","2,605","1,550","1,287","1,530","1,657","1,084","1,007","1,117","1,169",823,"1,554"
BILIRAN,Province,2022,676,59,144,52,56,50,45,39,56,75,32,31,37
EASTERN SAMAR,Province,2022,"1,859",75,481,163,138,149,259,136,105,51,77,41,184
LEYTE,Province,2022,"6,584",600,689,467,535,674,722,440,392,452,529,360,724
NORTHERN SAMAR,Province,2022,"2,606",328,611,410,257,150,166,119,85,216,68,52,144
SAMAR,Province,2022,"2,674",150,545,294,159,231,198,107,206,167,268,172,177
