PLACE OF OCCURENCE,Type of Place,Year,Total,January,February,March,April,May,June,July,August,September,October,November,December
Quezon City,City,2024,"11,619","1,238","2,872","1,087","1,096","1,096","1,504","1,007","1,007",712,-,,
City of San Juan,City,2024,252,30,87,16,24,16,18,26,9,26,-,,
City of Taguig,City,2024,"1,193",118,185,138,115,157,151,135,100,94,-,,
City of Valenzuela,City,2024,"2,007",230,390,223,216,170,260,161,214,143,-,,
Pateros,City,2024,153,15,35,19,14,14,25,14,12,5,-,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Region,2024,"5,474",776,709,644,831,566,753,487,370,338,-,,
ABRA,Province,2024,646,116,79,67,113,77,95,42,36,21,-,,
APAYAO,Province,2024,371,29,85,34,43,54,73,30,15,8,-,,
BENGUET,Province,2024,"1,488",252,93,208,249,135,191,152,116,92,-,,
IFUGAO,Province,2024,545,60,136,45,66,46,64,53,41,34,-,,
KALINGA,Province,2024,765,84,107,63,107,101,99,60,42,102,-,,
MOUNTAIN PROVINCE,Province,2024,484,63,64,87,55,42,73,42,30,28,-,,
CITY OF BAGUIO,Province,2024,"1,175",172,145,140,198,111,158,108,90,53,-,,
REGION I (ILOCOS REGION),Region,2024,"12,374","2,487","2,748","1,527","2,280","1,605",840,449,260,178,-,,
ILOCOS NORTE,Province,2024,"1,858",306,185,224,286,227,276,159,102,93,-,,
ILOCOS SUR,Province,2024,"1,996",338,380,145,361,269,306,127,70,-,-,,
LA UNION,Province,2024,"2,223",406,358,147,421,297,258,163,88,85,-,,
PANGASINAN,Province,2024,"6,297","1,437","1,825","1,011","1,212",812,-,-,-,-,-,,
REGION II (CAGAYAN VALLEY),Region,2024,"11,068",822,"1,940",840,"2,191","1,511","1,408",911,741,503,201,,
BATANES,Province,2024,96,7,12,5,22,11,21,9,4,5,-,,
CAGAYAN,Province,2024,"3,816",298,435,318,825,731,574,277,208,150,-,,
ISABELA,Province,2024,"5,007",333,"1,051",321,968,557,491,421,365,299,201,,
NUEVA VIZCAYA,Province,2024,"1,438",141,290,157,230,137,211,158,114,-,-,,
QUIRINO,Province,2024,711,43,152,39,146,75,111,46,50,49,-,,
REGION III (CENTRAL LUZON),Region,2024,"28,769","3,727","5,687","3,324","4,023","3,433","4,587","2,337","1,141",510,-,,
AURORA,Province,2024,690,65,202,38,67,86,120,57,28,27,-,,
BATAAN,Province,2024,"1,711",228,323,221,212,250,339,138,-,-,-,,
BULACAN,Province,2024,"6,750",926,"1,455",724,882,826,"1,359",578,-,-,-,,
NUEVA ECIJA,Province,2024,"5,850",644,"1,118",620,966,755,906,497,344,-,-,,
PAMPANGA,Province,2024,"6,878",922,"1,193",771,803,739,952,646,470,382,-,,
TARLAC,Province,2024,"4,027",557,600,598,720,459,581,319,193,-,-,,
ZAMBALES,Province,2024,"1,235",156,484,154,195,133,113,-,-,-,-,,
CITY OF ANGELES,City,2024,"1,133",147,158,131,118,113,157,102,106,101,-,,
CITY OF OLONGAPO,City,2024,495,82,154,67,60,72,60,-,-,-,-,,
REGION IV-A (CALABARZON),Region,2024,"39,624","5,012","6,862","3,975","4,373","4,297","6,546","4,099","2,448","2,012",-,,
BATANGAS,Province,2024,"9,028","1,507","1,141",968,"1,143","1,166","1,532",918,382,271,-,,
CAVITE,Province,2024,"10,668","1,222","2,375","1,033","1,069","1,045","1,637",894,731,662,-,,
LAGUNA,Province,2024,"7,774",806,"1,404",760,730,744,"1,356",923,509,542,-,,
QUEZON,Province,2024,"4,676",560,749,427,553,561,834,626,176,190,-,,
RIZAL,Province,2024,"6,887",833,"1,145",713,797,710,"1,083",655,604,347,-,,
CITY OF LUCENA,City,2024,591,84,48,74,81,71,104,83,46,-,-,,
MIMAROPA REGION,Region,2024,"8,458",807,"1,492",927,"1,298","1,155","1,594",602,349,234,-,,
MARINDUQUE,Province,2024,608,73,51,40,60,137,133,45,40,29,-,,
OCCIDENTAL MINDORO,Province,2024,"1,675",114,511,158,324,242,194,56,41,35,-,,
ORIENTAL MINDORO,Province,2024,"2,602",261,329,308,501,310,491,184,79,139,-,,
PALAWAN,Province,2024,"2,041",202,301,245,243,279,505,160,106,-,-,,
ROMBLON,Province,2024,588,66,104,57,78,92,91,51,18,31,-,,
CITY OF PUERTO PRINCESA,City,2024,944,91,196,119,92,95,180,106,65,-,-,,
REGION V (BICOL REGION),Region,2024,"16,715","1,749","1,605","1,165","2,491","2,390","4,504","1,318",898,595,-,,
ALBAY,Province,2024,"3,616",478,409,285,502,448,750,331,209,204,-,,
CAMARINES NORTE,Province,2024,"1,755",143,195,63,221,230,418,165,203,117,-,,
CAMARINES SUR,Province,2024,"5,791",631,494,416,"1,226",698,"1,263",494,330,239,-,,
CATANDUANES,Province,2024,589,46,59,36,56,112,104,93,48,35,-,,
MASBATE,Province,2024,"2,266",242,294,224,301,556,397,144,108,-,-,,
SORSOGON,Province,2024,"2,698",209,154,141,185,346,"1,572",91,-,-,-,,
REGION VI (WESTERN VISAYAS),Region,2024,"15,951","2,192","3,250","2,338","2,732","1,994","1,585",994,601,265,-,,
AKLAN,Province,2024,"1,518",186,194,187,214,273,250,138,76,-,-,,
ANTIQUE,Province,2024,"1,344",156,312,215,217,169,183,92,-,-,-,,
CAPIZ,Province,2024,"1,730",183,267,184,248,245,217,159,112,115,-,,
GUIMARAS,Province,2024,447,32,175,32,36,37,53,35,24,23,-,,
ILOILO,Province,2024,"4,683",466,"1,055",647,717,448,559,394,270,127,-,,
NEGROS OCCIDENTAL,Province,2024,"4,126",817,915,792,"1,009",593,-,-,-,-,-,,
CITY OF BACOLOD,City,2024,805,212,165,170,146,112,-,-,-,-,-,,
CITY OF ILOILO,City,2024,"1,298",140,167,111,145,117,323,176,119,-,-,,
REGION VII (CENTRAL VISAYAS),Region,2024,"15,767","3,062","3,393","1,837","2,211","2,010","1,567",934,541,212,-,,
BOHOL,Province,2024,"4,692",602,721,251,513,999,850,450,306,-,-,,
CEBU,Province,2024,"3,931","1,140","1,327",589,642,233,-,-,-,-,-,,
NEGROS ORIENTAL,Province,2024,"4,858",689,835,574,604,612,689,461,221,173,-,,
SIQUIJOR,Province,2024,208,26,12,16,17,33,28,23,14,39,-,,
CITY OF CEBU,City,2024,"1,107",334,293,228,252,-,-,-,-,-,-,,
CITY OF LAPU-LAPU,City,2024,662,167,127,118,117,133,-,-,-,-,-,,
CITY OF MANDAUE,City,2024,309,104,78,61,66,-,-,-,-,-,-,,
REGION VIII (EASTERN VISAYAS),Region,2024,"8,566","1,053","1,861",840,945,"1,013","1,429",919,298,208,-,,
BILIRAN,Province,2024,357,47,56,34,50,32,44,39,28,27,-,,
EASTERN SAMAR,Province,2024,288,61,181,46,-,-,-,-,-,-,-,,
LEYTE,Province,2024,"3,570",486,722,392,468,429,726,347,-,-,-,,
NORTHERN SAMAR,Province,2024,"1,154",155,299,101,90,98,202,209,-,-,-,,
SAMAR,Province,2024,"1,721",106,441,155,140,234,194,177,170,104,-,,
SOUTHERN LEYTE,Province,2024,"1,170",163,100,78,162,179,197,114,100,77,-,,
CITY OF TACLOBAN,City,2024,306,35,62,34,35,41,66,33,-,-,-,,
REGION IX (ZAMBOANGA PENINSULA),Region,2024,"6,695","1,056","1,304",791,839,825,827,514,393,146,-,,
ZAMBOANGA DEL NORTE,Province,2024,"2,756",391,654,312,289,354,264,185,161,146,-,,
ZAMBOANGA DEL SUR,Province,2024,"2,148",304,397,240,254,253,361,186,153,-,-,,
ZAMBOANGA SIBUGAY,Province,2024,"1,005",185,80,100,108,108,202,143,79,-,-,,
CITY OF ISABELA,City,2024,91,8,6,9,63,5,-,-,-,-,-,,
CITY OF ZAMBOANGA,City,2024,695,168,167,130,125,105,-,-,-,-,-,,
REGION X (NORTHERN MINDANAO),Region,2024,"11,280","1,275","1,981",995,"1,247","1,456","2,289","1,451",546,40,-,,
BUKIDNON,Province,2024,"4,027",481,830,416,485,373,740,401,301,-,-,,
CAMIGUIN,Province,2024,229,16,16,10,19,50,36,18,24,40,-,,
LANAO DEL NORTE,Province,2024,777,133,102,99,122,82,131,58,50,-,-,,
MISAMIS OCCIDENTAL,Province,2024,"1,570",159,413,84,140,168,196,296,114,-,-,,
MISAMIS ORIENTAL,Province,2024,"2,037",235,205,207,192,361,631,206,-,-,-,,
CITY OF CAGAYAN DE ORO,City,2024,"1,950",173,225,126,235,345,446,400,-,-,-,,
CITY OF ILIGAN,City,2024,690,78,190,53,54,77,109,72,57,-,-,,
REGION XI (DAVAO REGION),Region,2024,"11,853","1,438","1,631","1,249","1,264","1,333","2,243","1,304","1,078",313,-,,
DAVAO DE ORO,Province,2024,"1,800",172,264,117,198,288,454,169,138,-,-,,
DAVAO DEL NORTE,Province,2024,"3,217",320,341,399,232,280,597,315,420,313,-,,
DAVAO DEL SUR,Province,2024,"1,601",226,163,196,144,220,296,202,154,-,-,,
DAVAO OCCIDENTAL,Province,2024,470,61,69,50,54,65,99,59,13,-,-,,
DAVAO ORIENTAL,Province,2024,617,122,282,85,128,-,-,-,-,-,-,,
CITY OF DAVAO,City,2024,"4,148",537,512,402,508,480,797,559,353,-,-,,
REGION XII (SOCCSKSARGEN) 1,Region,2024,"8,201","1,102","1,515","1,070",907,756,929,663,818,441,-,,
COTABATO 2,Province,2024,"1,448",319,326,329,288,186,-,-,-,-,-,,
SARANGANI,Province,2024,"1,366",131,477,117,101,122,152,104,127,35,-,,
SOUTH COTABATO,Province,2024,"2,277",256,344,312,200,199,326,221,251,168,-,,
SULTAN KUDARAT,Province,2024,"1,426",189,204,89,143,100,201,123,276,101,-,,
CITY OF GENERAL SANTOS,City,2024,"1,684",207,164,223,175,149,250,215,164,137,-,,
REGION XIII (Caraga),Region,2024,"5,179",586,"1,402",631,431,524,776,413,262,154,-,,
AGUSAN DEL NORTE,Province,2024,533,151,261,121,-,-,-,-,-,-,-,,
AGUSAN DEL SUR,Province,2024,"1,059",117,357,170,126,142,147,-,-,-,-,,
DINAGAT ISLANDS,Province,2024,305,13,135,16,36,16,69,15,5,-,-,,
SURIGAO DEL NORTE,Province,2024,"1,485",99,315,111,140,157,238,141,130,154,-,,
SURIGAO DEL SUR,Province,2024,"1,553",104,244,161,129,209,322,257,127,-,-,,
CITY OF BUTUAN,City,2024,244,102,90,52,-,-,-,-,-,-,-,,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 3,Region,2024,479,109,68,47,32,56,142,15,10,-,-,,
BASILAN,Province,2024,65,8,6,4,7,10,30,-,-,-,-,,
LANAO DEL SUR,Province,2024,189,33,19,21,15,33,59,2,7,-,-,,
MAGUINDANAO 4,Province,2024,166,45,36,20,7,5,43,10,-,-,-,,
SULU,Province,2024,16,10,4,-,-,-,1,-,1,-,-,,
TAWI-TAWI,Province,2024,43,13,3,2,3,8,9,3,2,-,-,,
