PLACE OF USUAL RESIDENCE,Type of Place,Year,Total,January,February,March,April,May,June,July,August,September,October,November,December
REGION XI (DAVAO REGION),Region,2023,"73,622","6,869","5,649","6,380","6,024","6,154","5,673","5,858","6,118","6,545","6,407","6,144","5,801"
DAVAO DE ORO,Province,2023,"11,587","1,154",887,"1,013",932,954,865,912,907,"1,048","1,033",959,923
DAVAO DEL NORTE,Province,2023,"15,813","1,460","1,211","1,394","1,274","1,314","1,187","1,267","1,344","1,410","1,396","1,284","1,272"
DAVAO DEL SUR,Province,2023,"9,870",923,727,882,783,843,819,765,809,865,845,829,780
DAVAO OCCIDENTAL,Province,2023,"2,291",200,189,210,201,211,168,169,177,199,200,192,175
DAVAO ORIENTAL,Province,2023,"8,470",814,706,740,716,737,632,675,692,714,692,733,619
CITY OF DAVAO,City,2023,"25,591","2,318","1,929","2,141","2,118","2,095","2,002","2,070","2,189","2,309","2,241","2,147","2,032"
REGION XII (SOCCSKSARGEN),Region,2023,"69,223","6,564","5,554","6,001","5,686","5,941","5,495","5,447","5,565","6,019","5,858","5,629","5,464"
COTABATO,Province,2023,"22,676","2,176","1,834","1,917","1,879","1,897","1,767","1,764","1,845","2,006","1,918","1,883","1,790"
SARANGANI,Province,2023,"9,746",952,758,842,804,844,814,742,772,832,837,769,780
SOUTH COTABATO,Province,2023,"14,820","1,378","1,153","1,278","1,202","1,298","1,157","1,191","1,217","1,275","1,299","1,205","1,167"
SULTAN KUDARAT,Province,2023,"11,851","1,135","1,005","1,058","1,049","1,011",889,957,937,"1,023",937,935,915
CITY OF GENERAL SANTOS,City,2023,"10,130",923,804,906,752,891,868,793,794,883,867,837,812
REGION XIII (Caraga),Region,2023,"38,474","3,653","3,223","3,407","3,103","3,170","2,973","3,086","3,159","3,478","3,477","3,057","2,688"
AGUSAN DEL NORTE,Province,2023,"4,738",414,395,420,393,434,370,367,392,434,433,365,321
AGUSAN DEL SUR,Province,2023,"9,810",999,813,894,840,797,775,836,819,923,857,735,522
DINAGAT ISLANDS,Province,2023,"1,420",155,119,100,98,109,107,125,128,116,123,129,111
SURIGAO DEL NORTE,Province,2023,"7,347",699,628,679,543,617,580,570,586,651,697,569,528
SURIGAO DEL SUR,Province,2023,"10,262",945,894,898,843,804,775,784,857,912,907,830,813
CITY OF BUTUAN,City,2023,"4,897",441,374,416,386,409,366,404,377,442,460,429,393
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Region,2023,"36,066","4,395","3,771","4,031","3,761","3,437","3,158","3,215","3,018","2,402","1,844","1,542","1,492"
BASILAN,Province,2023,"3,036",358,333,344,298,235,230,215,218,235,224,209,137
LANAO DEL SUR,Province,2023,"10,179","1,095",941,"1,025",943,850,729,883,743,758,718,730,764
MAGUINDANAO,Province,2023,"15,899","2,139","1,827","1,938","1,858","1,737","1,582","1,542","1,548",889,403,209,227
SULU,Province,2023,"5,020",561,450,521,478,443,452,417,371,381,361,302,283
TAWI-TAWI,Province,2023,"1,932",242,220,203,184,172,165,158,138,139,138,92,81
FOREIGN COUNTRY,,2023,110,11,6,8,2,10,11,9,8,12,11,11,11
TOTAL,,2024,"761,227","112,372","93,409","98,879","98,774","94,173","82,921","83,385","67,734","29,186",394,,
NATIONAL CAPITAL REGION (NCR),Region,2024,"100,213","12,559","10,503","11,055","11,670","11,761","11,231","12,081","12,768","6,585",-,,
City of Caloocan,City,2024,"12,057","1,491","1,259","1,321","1,428","1,311","1,353","1,475","1,583",836,-,,
City of Las Piñas,City,2024,"4,277",539,453,426,507,520,464,525,555,288,-,,
City of Makati,City,2024,"2,135",276,239,235,235,269,228,250,232,171,-,,
City of Malabon,City,2024,"3,043",360,314,356,335,321,356,350,406,245,-,,
City of Mandaluyong,City,2024,"2,944",411,323,335,332,322,327,374,360,160,-,,
City of Manila,City,2024,"14,859","1,856","1,540","1,548","1,738","1,779","1,596","1,838","1,879","1,085",-,,
City of Marikina,City,2024,"3,828",454,353,460,398,460,419,488,488,308,-,,
City of Muntinlupa,City,2024,"3,541",425,387,404,397,448,396,405,399,280,-,,
City of Navotas,City,2024,"2,095",268,223,225,237,252,229,260,275,126,-,,
City of Parañaque,City,2024,"4,842",624,528,494,578,578,526,595,628,291,-,,
Pasay City,City,2024,"3,227",379,334,360,412,380,313,401,396,252,-,,
City of Pasig,City,2024,"6,633",842,717,740,732,800,817,778,888,319,-,,
Quezon City,City,2024,"21,196","2,709","2,262","2,363","2,524","2,526","2,458","2,553","2,767","1,034",-,,
City of San Juan,City,2024,788,83,60,109,106,80,87,97,102,64,-,,
City of Taguig,City,2024,"9,417","1,114",971,"1,072","1,063","1,083","1,083","1,106","1,184",741,-,,
City of Valenzuela,City,2024,"4,863",673,490,560,593,586,513,531,569,348,-,,
Pateros,City,2024,468,55,50,47,55,46,66,55,57,37,-,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Region,2024,"14,195","2,042","1,681","1,786","1,696","1,889","1,789","1,852","1,429",27,4,,
ABRA,Province,2024,"1,545",244,176,176,196,218,188,194,153,-,-,,
APAYAO,Province,2024,"1,010",156,116,141,112,129,136,151,67,2,-,,
BENGUET,Province,2024,"3,361",490,423,420,406,470,439,422,290,1,-,,
IFUGAO,Province,2024,"1,855",245,196,250,238,236,226,258,194,9,3,,
KALINGA,Province,2024,"2,174",324,223,266,234,294,265,281,280,7,-,,
MOUNTAIN PROVINCE,Province,2024,"1,315",180,175,151,104,185,178,178,156,7,1,,
CITY OF BAGUIO,Province,2024,"2,935",403,372,382,406,357,357,368,289,1,-,,
REGION I (ILOCOS REGION),Region,2024,"28,587","5,297","4,145","4,510","4,637","4,241","1,681","1,921","1,665",490,-,,
ILOCOS NORTE,Province,2024,"3,759",544,379,472,491,454,451,494,473,1,-,,
ILOCOS SUR,Province,2024,"4,195",635,503,507,579,530,494,570,355,22,-,,
LA UNION,Province,2024,"6,095",747,613,679,751,723,639,758,760,425,-,,
PANGASINAN,Province,2024,"14,538","3,371","2,650","2,852","2,816","2,534",97,99,77,42,-,,
REGION II (CAGAYAN VALLEY),Region,2024,"28,894","3,620","3,155","3,146","3,015","3,167","3,024","3,462","3,490","2,428",387,,
BATANES,Province,2024,108,20,9,8,16,11,17,17,10,-,-,,
CAGAYAN,Province,2024,"9,023","1,058",987,"1,009","1,064",984,841,"1,091","1,119",870,-,,
ISABELA,Province,2024,"13,988","1,716","1,432","1,421","1,228","1,416","1,446","1,660","1,765","1,524",380,,
NUEVA VIZCAYA,Province,2024,"4,027",569,517,515,502,557,524,458,373,10,2,,
QUIRINO,Province,2024,"1,748",257,210,193,205,199,196,236,223,24,5,,
REGION III (CENTRAL LUZON),Region,2024,"88,348","12,825","10,460","10,944","11,620","11,452","10,360","9,559","7,141","3,987",-,,
AURORA,Province,2024,"2,005",295,224,250,246,258,260,270,167,35,-,,
BATAAN,Province,2024,"5,479",916,815,797,828,769,765,544,35,10,-,,
BULACAN,Province,2024,"21,661","3,579","2,879","3,093","3,220","3,224","2,994","2,069",388,215,-,,
NUEVA ECIJA,Province,2024,"18,483","2,357","1,911","1,899","2,156","2,062","1,932","2,137","2,325","1,704",-,,
PAMPANGA,Province,2024,"21,334","2,708","2,197","2,393","2,460","2,489","2,243","2,550","2,608","1,686",-,,
TARLAC,Province,2024,"10,041","1,502","1,269","1,261","1,430","1,341","1,266","1,249",699,24,-,,
ZAMBALES,Province,2024,"4,057",754,577,606,638,680,338,198,261,5,-,,
CITY OF ANGELES,City,2024,"3,968",511,403,461,451,429,440,463,502,308,-,,
CITY OF OLONGAPO,City,2024,"1,320",203,185,184,191,200,122,79,156,-,-,,
REGION IV-A (CALABARZON),Region,2024,"130,243","16,860","14,131","14,987","15,363","15,448","15,085","16,171","14,912","7,286",-,,
BATANGAS,Province,2024,"24,535","3,086","2,597","2,714","2,768","2,587","2,747","2,913","2,940","2,183",-,,
CAVITE,Province,2024,"36,473","4,351","3,777","4,065","4,123","4,172","3,968","4,256","4,588","3,173",-,,
LAGUNA,Province,2024,"24,333","3,383","2,826","2,982","3,065","3,212","3,167","3,335","2,228",135,-,,
QUEZON,Province,2024,"15,231","2,199","1,806","1,853","1,949","1,977","1,900","2,023","1,500",24,-,,
RIZAL,Province,2024,"27,408","3,488","2,863","3,096","3,190","3,177","3,015","3,351","3,460","1,768",-,,
CITY OF LUCENA,City,2024,"2,263",353,262,277,268,323,288,293,196,3,-,,
MIMAROPA REGION,Region,2024,"25,318","3,406","2,887","3,107","3,049","3,178","2,897","3,087","2,498","1,209",-,,
MARINDUQUE,Province,2024,"1,490",220,186,183,192,199,165,215,130,-,-,,
OCCIDENTAL MINDORO,Province,2024,"4,380",531,487,497,542,559,445,514,484,321,-,,
ORIENTAL MINDORO,Province,2024,"8,141","1,013",839,851,864,916,864,946,967,881,-,,
PALAWAN,Province,2024,"7,300","1,076",909,983,941,972,884,908,625,2,-,,
ROMBLON,Province,2024,"2,282",340,272,320,293,297,314,289,153,4,-,,
CITY OF PUERTO PRINCESA,City,2024,"1,725",226,194,273,217,235,225,215,139,1,-,,
REGION V (BICOL REGION),Region,2024,"55,077","7,870","6,329","6,493","6,861","6,843","6,447","6,780","5,034","2,420",-,,
ALBAY,Province,2024,"11,395","1,660","1,280","1,387","1,444","1,470","1,394","1,512","1,243",5,-,,
CAMARINES NORTE,Province,2024,"7,334",925,723,736,834,827,797,885,803,804,-,,
CAMARINES SUR,Province,2024,"19,778","2,656","2,160","2,115","2,336","2,238","2,106","2,407","2,164","1,596",-,,
CATANDUANES,Province,2024,"2,194",324,246,283,254,276,268,288,254,1,-,,
MASBATE,Province,2024,"7,619","1,150",981,"1,014","1,023","1,011",935,947,545,13,-,,
SORSOGON,Province,2024,"6,757","1,155",939,958,970,"1,021",947,741,25,1,-,,
REGION VI (WESTERN VISAYAS),Region,2024,"38,929","6,873","5,172","5,704","6,081","5,122","3,657","3,362","2,048",910,-,,
AKLAN,Province,2024,"4,722",617,472,512,582,591,549,547,539,313,-,,
ANTIQUE,Province,2024,"2,700",488,356,403,408,408,355,234,24,24,-,,
CAPIZ,Province,2024,"5,609",714,550,636,659,647,678,609,572,544,-,,
GUIMARAS,Province,2024,"1,382",193,175,172,168,174,168,172,160,-,-,,
ILOILO,Province,2024,"11,822","1,781","1,431","1,662","1,666","1,636","1,581","1,455",592,18,-,,
NEGROS OCCIDENTAL,Province,2024,"8,678","2,333","1,551","1,656","1,887","1,162",33,25,24,7,-,,
CITY OF BACOLOD,City,2024,"1,681",403,334,372,386,180,-,3,2,1,-,,
CITY OF ILOILO,City,2024,"2,335",344,303,291,325,324,293,317,135,3,-,,
REGION VII (CENTRAL VISAYAS),Region,2024,"44,200","9,210","7,766","8,236","7,140","4,408","2,620","2,831","1,986",3,-,,
BOHOL,Province,2024,"9,944","1,431","1,215","1,253","1,315","1,263","1,147","1,320","1,000",-,-,,
CEBU,Province,2024,"13,436","3,829","3,144","3,447","2,470",491,19,23,13,-,-,,
NEGROS ORIENTAL,Province,2024,"11,179","1,614","1,393","1,482","1,508","1,473","1,388","1,403",917,1,-,,
SIQUIJOR,Province,2024,600,94,87,69,86,75,61,75,53,-,-,,
CITY OF CEBU,City,2024,"5,274","1,183","1,086","1,059","1,039",895,5,5,2,-,-,,
CITY OF LAPU-LAPU,City,2024,"2,060",646,487,528,342,51,-,3,1,2,-,,
CITY OF MANDAUE,City,2024,"1,707",413,354,398,380,160,-,2,-,-,-,,
REGION VIII (EASTERN VISAYAS),Region,2024,"28,177","4,801","3,953","4,029","3,862","3,834","3,448","2,990","1,214",46,-,,
BILIRAN,Province,2024,"1,514",223,212,192,218,203,192,172,102,-,-,,
EASTERN SAMAR,Province,2024,"1,158",468,350,255,29,16,17,15,7,1,-,,
LEYTE,Province,2024,"12,110","1,986","1,631","1,773","1,748","1,778","1,580","1,216",395,3,-,,
NORTHERN SAMAR,Province,2024,"3,064",596,479,489,499,456,349,191,4,1,-,,
SAMAR,Province,2024,"6,237",947,779,790,805,804,772,897,402,41,-,,
SOUTHERN LEYTE,Province,2024,"2,348",336,289,321,308,320,276,285,213,-,-,,
CITY OF TACLOBAN,City,2024,"1,746",245,213,209,255,257,262,214,91,-,-,,
REGION IX (ZAMBOANGA PENINSULA),Region,2024,"27,023","4,092","3,484","3,817","3,770","3,595","2,712","2,889","2,069",595,-,,
ZAMBOANGA DEL NORTE,Province,2024,"8,125","1,161","1,000","1,111","1,050","1,039","1,043","1,016",661,44,-,,
ZAMBOANGA DEL SUR,Province,2024,"8,239","1,127",921,"1,059","1,055","1,099","1,035","1,140",802,1,-,,
ZAMBOANGA SIBUGAY,Province,2024,"5,512",627,611,539,578,655,629,723,601,549,-,,
CITY OF ISABELA,City,2024,489,121,86,112,102,64,2,2,-,-,-,,
CITY OF ZAMBOANGA,City,2024,"4,658","1,056",866,996,985,738,3,8,5,1,-,,
REGION X (NORTHERN MINDANAO),Region,2024,"43,356","6,072","5,092","5,621","5,559","5,853","5,521","5,598","4,035",5,-,,
BUKIDNON,Province,2024,"15,872","2,172","1,897","2,029","2,051","2,045","1,922","2,079","1,676",1,-,,
CAMIGUIN,Province,2024,99,12,14,18,14,11,12,8,10,-,-,,
LANAO DEL NORTE,Province,2024,"4,663",672,510,570,516,645,672,612,465,1,-,,
MISAMIS OCCIDENTAL,Province,2024,"5,229",721,609,634,562,743,713,666,581,-,-,,
MISAMIS ORIENTAL,Province,2024,"7,597","1,170",908,"1,100","1,072","1,094",980,923,349,1,-,,
CITY OF CAGAYAN DE ORO,City,2024,"7,017",915,810,908,908,901,858,927,789,1,-,,
CITY OF ILIGAN,City,2024,"2,879",410,344,362,436,414,364,383,165,1,-,,
REGION XI (DAVAO REGION),Region,2024,"38,726","5,370","4,748","5,140","5,124","4,963","4,759","5,000","3,617",5,-,,
DAVAO DE ORO,Province,2024,"6,602",852,735,802,781,851,823,976,782,-,-,,
DAVAO DEL NORTE,Province,2024,"8,475","1,179",950,"1,087","1,088","1,140","1,038","1,085",908,-,-,,
DAVAO DEL SUR,Province,2024,"5,490",620,641,730,715,782,730,748,523,1,-,,
DAVAO OCCIDENTAL,Province,2024,"1,251",176,161,168,162,170,159,161,92,2,-,,
DAVAO ORIENTAL,Province,2024,"2,877",643,569,559,578,117,151,161,98,1,-,,
CITY OF DAVAO,City,2024,"14,031","1,900","1,692","1,794","1,800","1,903","1,858","1,869","1,214",1,-,,
REGION XII (SOCCSKSARGEN),Region,2024,"38,155","5,334","4,769","5,281","5,210","4,491","4,212","3,455","3,012","2,391",-,,
COTABATO,Province,2024,"8,530","1,835","1,544","1,740","1,692",903,710,72,30,4,-,,
SARANGANI,Province,2024,"5,291",732,638,743,729,754,717,611,331,36,-,,
SOUTH COTABATO,Province,2024,"9,917","1,111","1,025","1,081","1,127","1,114","1,153","1,100","1,118","1,088",-,,
SULTAN KUDARAT,Province,2024,"8,030",891,860,938,955,983,880,883,821,819,-,,
CITY OF GENERAL SANTOS,City,2024,"6,387",765,702,779,707,737,752,789,712,444,-,,
REGION XIII (Caraga),Region,2024,"14,694","2,825","2,375","2,118","1,478","1,687","1,665","1,293",570,683,-,,
AGUSAN DEL NORTE,Province,2024,968,335,297,217,68,12,17,18,4,-,-,,
AGUSAN DEL SUR,Province,2024,"2,937",740,623,445,218,400,444,38,26,3,-,,
DINAGAT ISLANDS,Province,2024,665,111,79,86,79,81,82,87,60,-,-,,
SURIGAO DEL NORTE,Province,2024,"3,771",556,448,547,456,502,442,471,348,1,-,,
SURIGAO DEL SUR,Province,2024,"5,547",747,622,677,649,690,676,677,130,679,-,,
CITY OF BUTUAN,City,2024,806,336,306,146,8,2,4,2,2,-,-,,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Region,2024,"17,002","3,303","2,748","2,890","2,630","2,233","1,800","1,047",238,110,3,,
BASILAN,Province,2024,"1,190",252,193,219,242,195,88,-,1,-,-,,
LANAO DEL SUR,Province,2024,"5,390",930,768,727,736,785,718,582,139,5,-,,
MAGUINDANAO,Province,2024,"8,033","1,634","1,402","1,507","1,217",943,778,407,71,74,-,,
SULU,Province,2024,"1,871",390,283,346,362,239,174,26,17,31,3,,
TAWI-TAWI,Province,2024,518,97,102,91,73,71,42,32,10,-,-,,
FOREIGN COUNTRY,,2024,90,13,11,15,9,8,13,7,8,6,-,,
